symbol,date,price,change
AAPL,2019-04-05 16:00:00,49.25,0
AAPL,2019-04-12 16:00:00,49.72,0.47
AAPL,2019-04-18 16:00:00,50.97,1.72
AAPL,2019-04-26 16:00:00,51.08,1.83
AAPL,2019-05-03 16:00:00,52.94,3.69
AAPL,2019-05-10 16:00:00,49.3,0.05
AAPL,2019-05-17 16:00:00,47.25,-2
AAPL,2019-05-24 16:00:00,44.74,-4.51
AAPL,2019-05-31 16:00:00,43.77,-5.48
AAPL,2019-06-07 16:00:00,47.54,-1.71
AAPL,2019-06-14 16:00:00,48.19,-1.06
AAPL,2019-06-21 16:00:00,49.7,0.45
AAPL,2019-06-28 16:00:00,49.48,0.23
AAPL,2019-07-05 16:00:00,51.06,1.81
AAPL,2019-07-12 16:00:00,50.83,1.58
AAPL,2019-07-19 16:00:00,50.65,1.4
AAPL,2019-07-26 16:00:00,51.94,2.69
AAPL,2019-08-02 16:00:00,51.01,1.76
AAPL,2019-08-09 16:00:00,50.25,1
AAPL,2019-08-16 16:00:00,51.63,2.38
AAPL,2019-08-23 16:00:00,50.66,1.41
AAPL,2019-08-30 16:00:00,52.19,2.94
AAPL,2019-09-06 16:00:00,53.32,4.07
AAPL,2019-09-13 16:00:00,54.69,5.44
AAPL,2019-09-20 16:00:00,54.43,5.18
AAPL,2019-09-27 16:00:00,54.71,5.46
AAPL,2019-10-04 16:00:00,56.75,7.5
AAPL,2019-10-11 16:00:00,59.05,9.8
AAPL,2019-10-18 16:00:00,59.1,9.85
AAPL,2019-10-25 16:00:00,61.65,12.4
AAPL,2019-11-01 16:00:00,63.96,14.71
AAPL,2019-11-08 16:00:00,65.04,15.79
AAPL,2019-11-15 16:00:00,66.44,17.19
AAPL,2019-11-22 16:00:00,65.44,16.19
AAPL,2019-11-29 13:00:00,66.81,17.56
AAPL,2019-12-06 16:00:00,67.68,18.43
AAPL,2019-12-13 16:00:00,68.79,19.54
AAPL,2019-12-20 16:00:00,69.86,20.61
AAPL,2019-12-27 16:00:00,72.45,23.2
AAPL,2020-01-03 16:00:00,74.36,25.11
AAPL,2020-01-10 16:00:00,77.58,28.33
AAPL,2020-01-17 16:00:00,79.68,30.43
AAPL,2020-01-24 16:00:00,79.58,30.33
AAPL,2020-01-31 16:00:00,77.38,28.13
AAPL,2020-02-07 16:00:00,80.01,30.76
AAPL,2020-02-14 16:00:00,81.24,31.99
AAPL,2020-02-21 16:00:00,78.26,29.01
