date,price,change
2019-04-05 16:00:00,91.86,0
2019-04-12 16:00:00,92.15,0.29
2019-04-18 16:00:00,93.08,1.22
2019-04-26 16:00:00,97.53,5.67
2019-05-03 16:00:00,98.12,6.26
2019-05-10 16:00:00,94.5,2.64
2019-05-17 16:00:00,93.45,1.59
2019-05-24 16:00:00,91.16,-0.7
2019-05-31 16:00:00,88.75,-3.11
2019-06-07 16:00:00,90.2,-1.66
2019-06-14 16:00:00,93.48,1.62
2019-06-21 16:00:00,95.57,3.71
2019-06-28 16:00:00,94.68,2.82
2019-07-05 16:00:00,97.15,5.29
2019-07-12 16:00:00,100.55,8.69
2019-07-19 16:00:00,98.23,6.37
2019-07-26 16:00:00,97.15,5.29
2019-08-02 16:00:00,91.16,-0.7
2019-08-09 16:00:00,90.38,-1.48
2019-08-16 16:00:00,89.63,-2.23
2019-08-23 16:00:00,87.48,-4.38
2019-08-30 16:00:00,88.81,-3.05
2019-09-06 16:00:00,91.68,-0.18
2019-09-13 16:00:00,91.97,0.11
2019-09-20 16:00:00,89.71,-2.15
2019-09-27 16:00:00,86.27,-5.59
2019-10-04 16:00:00,86.98,-4.88
2019-10-11 16:00:00,86.6,-5.26
2019-10-18 16:00:00,87.88,-3.98
2019-10-25 16:00:00,88.07,-3.79
2019-11-01 16:00:00,89.57,-2.29
2019-11-08 16:00:00,89.29,-2.57
2019-11-15 16:00:00,86.97,-4.89
2019-11-22 16:00:00,87.29,-4.57
2019-11-29 13:00:00,90.04,-1.82
2019-12-06 16:00:00,87.58,-4.28
2019-12-13 16:00:00,88.05,-3.81
2019-12-20 16:00:00,89.33,-2.53
2019-12-27 16:00:00,93.49,1.63
2020-01-03 16:00:00,93.75,1.89
2020-01-10 16:00:00,94.16,2.3
2020-01-17 16:00:00,93.24,1.38
2020-01-24 16:00:00,93.08,1.22
2020-01-31 16:00:00,100.44,8.58
2020-02-07 16:00:00,103.96,12.1
2020-02-14 16:00:00,106.74,14.88
2020-02-21 16:00:00,104.8,12.94
2020-02-28 16:00:00,94.19,2.33
2020-03-06 16:00:00,95.05,3.19
