symbol,date,price,change
COMP,2021-04-01 16:00:00,20.15,0
COMP,2021-04-09 16:00:00,17.31,-2.84
COMP,2021-04-16 16:00:00,18.03,-2.12
COMP,2021-04-23 16:00:00,17.62,-2.53
COMP,2021-04-30 16:00:00,19.02,-1.13
COMP,2021-05-07 16:00:00,16.91,-3.24
COMP,2021-05-14 16:00:00,14.15,-6
COMP,2021-05-21 16:00:00,13.87,-6.28
COMP,2021-05-28 16:00:00,13.44,-6.71
COMP,2021-06-04 16:00:00,13.95,-6.2
COMP,2021-06-11 16:00:00,14.54,-5.61
COMP,2021-06-18 16:00:00,13.99,-6.16
COMP,2021-06-25 16:00:00,14.07,-6.08
COMP,2021-07-02 16:00:00,12.9,-7.25
COMP,2021-07-09 16:00:00,13.5,-6.65
COMP,2021-07-16 16:00:00,12.73,-7.42
COMP,2021-07-23 16:00:00,13.9,-6.25
COMP,2021-07-30 16:00:00,13.66,-6.49
COMP,2021-08-06 16:00:00,14.5,-5.65
COMP,2021-08-13 16:00:00,17.21,-2.94
COMP,2021-08-20 16:00:00,15.76,-4.39
COMP,2021-08-27 16:00:00,15.93,-4.22
COMP,2021-09-03 16:00:00,16.16,-3.99
COMP,2021-09-10 16:00:00,14.31,-5.84
COMP,2021-09-17 16:00:00,13.88,-6.27
COMP,2021-09-24 16:00:00,13.5,-6.65
COMP,2021-10-01 16:00:00,12.79,-7.36
COMP,2021-10-08 16:00:00,11.35,-8.8
COMP,2021-10-15 16:00:00,11.68,-8.47
COMP,2021-10-22 16:00:00,12.89,-7.26
COMP,2021-10-29 16:00:00,13.1,-7.05
COMP,2021-11-05 16:00:00,12.39,-7.76
COMP,2021-11-12 16:00:00,11.42,-8.73
COMP,2021-11-19 16:00:00,10.43,-9.72
COMP,2021-11-26 13:00:00,9.5,-10.65
COMP,2021-12-03 16:00:00,9.23,-10.92
COMP,2021-12-10 16:00:00,10.33,-9.82
COMP,2021-12-17 16:00:00,9.66,-10.49
COMP,2021-12-23 16:00:00,9.22,-10.93
COMP,2021-12-31 16:00:00,9.09,-11.06
COMP,2022-01-07 16:00:00,8.54,-11.61
COMP,2022-01-14 16:00:00,8.31,-11.84
COMP,2022-01-21 16:00:00,8.06,-12.09
COMP,2022-01-28 16:00:00,7.85,-12.3
COMP,2022-02-04 16:00:00,8.27,-11.88
COMP,2022-02-11 16:00:00,8.39,-11.76
COMP,2022-02-18 16:00:00,8.3,-11.85
COMP,2022-02-25 16:00:00,7.65,-12.5
COMP,2022-03-04 16:00:00,6.98,-13.17
COMP,2022-03-11 16:00:00,6.51,-13.64
COMP,2022-03-18 16:00:00,6.75,-13.4
COMP,2022-03-25 16:00:00,7.61,-12.54
COMP,2022-04-01 16:00:00,7.39,-12.76
COMP,2022-04-08 16:00:00,6.56,-13.59
COMP,2022-04-14 16:00:00,6.0,-14.15
COMP,2022-04-22 16:00:00,5.84,-14.31
COMP,2022-04-29 16:00:00,5.43,-14.72
COMP,2022-05-06 16:00:00,5.28,-14.87
COMP,2022-05-13 16:00:00,5.45,-14.7
COMP,2022-05-20 16:00:00,5.49,-14.66
COMP,2022-05-27 16:00:00,6.01,-14.14
COMP,2022-06-03 16:00:00,6.27,-13.88
COMP,2022-06-10 16:00:00,5.34,-14.81
COMP,2022-06-17 16:00:00,3.8,-16.35
COMP,2022-06-24 16:00:00,4.06,-16.09
COMP,2022-07-01 16:00:00,4.01,-16.14
COMP,2022-07-08 16:00:00,4.55,-15.6
COMP,2022-07-15 16:00:00,4.07,-16.08
COMP,2022-07-22 16:00:00,3.67,-16.48
COMP,2022-07-29 16:00:00,3.82,-16.33
COMP,2022-08-05 16:00:00,4.1,-16.05
COMP,2022-08-12 16:00:00,4.7,-15.45
COMP,2022-08-19 16:00:00,3.62,-16.53
COMP,2022-08-26 16:00:00,3.25,-16.9
