date,price,change
2019-04-05 16:00:00,0.01,0
2019-04-12 16:00:00,0.01,0
2019-04-18 16:00:00,0.01,0
2019-04-26 16:00:00,0.01,0
2019-05-02 16:00:00,0.01,0
2019-05-10 16:00:00,0.01,0
2019-05-17 16:00:00,0.01,0
2019-05-24 16:00:00,0.01,0
2019-05-30 16:00:00,0.01,0
2019-06-07 16:00:00,0.01,0
2019-06-14 16:00:00,0.01,0
2019-06-21 16:00:00,0.01,0
2019-06-28 16:00:00,0.01,0
2019-07-05 16:00:00,0.01,0
2019-07-12 16:00:00,0.01,0
2019-07-18 16:00:00,0.01,0
2019-07-26 16:00:00,0.01,0
2019-08-02 16:00:00,0.01,0
2019-08-09 16:00:00,0.01,0
2019-08-16 16:00:00,0.01,0
2019-08-23 16:00:00,0.01,0
2019-08-27 16:00:00,0.01,0
2019-09-04 16:00:00,0.01,0
2019-09-13 16:00:00,0.01,0
2019-09-20 16:00:00,0.01,0
2019-09-25 16:00:00,0.01,0
2019-10-03 16:00:00,0.01,0
2019-10-11 16:00:00,0.01,0
2019-10-18 16:00:00,0.01,0
2019-10-23 16:00:00,0.01,0
2019-10-29 16:00:00,0.01,0
2019-11-08 16:00:00,0.01,0
2019-11-15 16:00:00,0.01,0
2019-11-22 16:00:00,0.01,0
2019-11-29 16:00:00,0.01,0
2019-12-06 16:00:00,0.01,0
2019-12-12 16:00:00,0.01,0
2019-12-20 16:00:00,0.01,0
2019-12-27 16:00:00,0.01,0
2020-01-02 16:00:00,0.01,0
2020-01-10 16:00:00,0.01,0
2020-01-17 16:00:00,0.01,0
2020-01-24 16:00:00,0.01,0
2020-01-31 16:00:00,0.01,0
2020-02-07 16:00:00,0.01,0
2020-02-13 16:00:00,0.01,0
2020-02-18 16:00:00,0.01,0
2020-02-28 16:00:00,0.01,0
2020-03-06 16:00:00,0.0,-0.01
2020-03-12 16:00:00,0.0,-0.01
2020-03-17 16:00:00,0.0,-0.01
2020-03-26 16:00:00,0.0,-0.01
2020-04-03 16:00:00,0.0,-0.01
2020-04-09 16:00:00,0.0,-0.01
2020-04-17 16:00:00,0.0,-0.01
2020-04-22 16:00:00,0.0,-0.01
2020-05-06 16:00:00,0.0,-0.01
2020-05-15 16:00:00,0.0,-0.01
2020-05-22 16:00:00,0.0,-0.01
2020-05-29 16:00:00,0.0,-0.01
2020-06-05 16:00:00,0.01,0
2020-06-19 16:00:00,0.01,0
2020-06-26 16:00:00,0.01,0
2020-07-01 16:00:00,0.01,0
2020-07-10 16:00:00,0.01,0
2020-07-17 16:00:00,0.01,0
2020-07-24 16:00:00,0.01,0
2020-07-31 16:00:00,0.01,0
2020-08-07 16:00:00,0.01,0
2020-08-14 16:00:00,0.01,0
2020-08-21 16:00:00,0.03,0.02
2020-08-28 16:00:00,0.04,0.03
2020-09-04 16:00:00,0.04,0.03
2020-09-11 16:00:00,0.04,0.03
2020-09-18 16:00:00,0.03,0.02
2020-09-25 16:00:00,0.04,0.03
2020-09-30 16:00:00,0.04,0.03
2020-10-16 16:00:00,0.04,0.03
2020-10-23 16:00:00,0.04,0.03
2020-10-30 16:00:00,0.04,0.03
2020-11-06 16:00:00,0.04,0.03
2020-11-13 16:00:00,0.04,0.03
2020-11-20 16:00:00,0.03,0.02
2020-11-25 16:00:00,0.03,0.02
2020-12-11 16:00:00,0.04,0.03
2020-12-18 16:00:00,0.04,0.03
2020-12-24 16:00:00,0.04,0.03
2020-12-31 16:00:00,0.04,0.03
2021-01-08 16:00:00,0.04,0.03
2021-01-15 16:00:00,0.06,0.05
2021-01-22 16:00:00,0.07,0.06
2021-01-29 16:00:00,0.06,0.05
2021-02-05 16:00:00,0.06,0.05
2021-02-12 16:00:00,0.07,0.06
2021-02-17 16:00:00,0.12,0.11
2021-02-26 16:00:00,0.11,0.1
2021-03-05 16:00:00,0.08,0.07
2021-03-12 16:00:00,0.08,0.07
2021-03-19 16:00:00,0.1,0.09
2021-03-26 16:00:00,0.09,0.08
2021-04-01 16:00:00,0.09,0.08
2021-04-09 16:00:00,0.09,0.08
2021-04-16 16:00:00,0.09,0.08
2021-04-23 16:00:00,0.09,0.08
2021-04-30 16:00:00,0.08,0.07
